model,dataset,method,budget,samples,seeds,score_mean,score_std,score_ci95_low,score_ci95_high,prefill_mean_s,preprocessing_mean_s,vision_mean_s,routing_mean_s,packing_mean_s,generation_mean_s,latency_mean_s,visual_tokens_mean
llava15-7b,textvqa,dense,576,200,1,0.5205,0.4887989073834929,0.4535,0.588,0.07148586250002154,0.027518246999975418,0.04277410500001679,0.0005583240000260048,0.0006351865000033285,0.37694687050002357,0.44899072599999273,576.0
llava15-7b,textvqa,divprune,64,200,1,0.428,0.4827850526219467,0.362,0.4945,0.08329278400007296,0.019034922000018925,0.03995791949999784,0.02367000449999523,0.0006299380000609745,0.23909689450002589,0.32290192349998054,64.0
llava15-7b,textvqa,divprune,128,200,1,0.4765,0.48773679985177276,0.409,0.5435,0.10854826299997512,0.01947452850002719,0.04206185399996684,0.046387592499977474,0.0006242880000036167,0.26425372450002216,0.3733515250000255,128.0
llava15-7b,textvqa,otprune,64,200,1,0.3935,0.4768065355695212,0.329,0.4605,0.10615621599999486,0.018930202999995344,0.04171224249996612,0.04490063749997262,0.0006131330000607705,0.23666879549998612,0.3433468599999969,64.0
llava15-7b,textvqa,otprune,128,200,1,0.476,0.4881757653647375,0.4075,0.5435,0.14525075200000628,0.01931172450003487,0.04168457199997192,0.08367014449998805,0.0005843110000114393,0.2575157669999999,0.4033083190000161,128.0
llava15-7b,textvqa,random,64,200,3,0.2713333333333333,0.3675418214409022,0.222,0.3238333333333333,0.06260707633331701,0.019155193499997645,0.0419506963333212,0.0009048753333217973,0.0005963111666763628,0.2332884194999921,0.2964241661666741,64.0
llava15-7b,textvqa,random,128,200,3,0.35833333333333334,0.41571247526171123,0.30183333333333334,0.4161666666666667,0.06392118166664508,0.019491555333321836,0.042918277333343816,0.0009001358333216559,0.0006112131666577625,0.259447734499992,0.32390621516663637,128.0
llava15-7b,textvqa,stride,64,200,1,0.467,0.48949876938163045,0.401,0.536,0.09275404350009012,0.018832504500014693,0.04337542450003639,0.029944992000027922,0.0006011225000111154,0.24101439349998144,0.33429475499997807,64.0
llava15-7b,textvqa,stride,128,200,1,0.494,0.49119278471776634,0.427,0.562,0.09214131000003817,0.019811669999985498,0.04523044600001413,0.026529561000015748,0.0005696330000228045,0.2670627515000069,0.35975770249996913,128.0
llava15-7b,textvqa,visionzip,64,200,1,0.442,0.4865383828537577,0.375,0.511,0.08946879700000863,0.018814775000000738,0.041849941500026945,0.028249049499995637,0.0005550309999853198,0.23475236549999864,0.3247449860000052,64.0
llava15-7b,textvqa,visionzip,128,200,1,0.4735,0.48912571988114284,0.4055,0.5425,0.11692555099999481,0.019104159999978946,0.04369867250000425,0.05349845049997384,0.0006242680000377732,0.2596598690000019,0.37712200700003906,128.0
llava15-7b,textvqa,vispruner,64,200,1,0.4515,0.48773679985177276,0.386,0.519,0.08964358950005134,0.019423774500032777,0.04469067299998187,0.024918975000045977,0.0006101669999907244,0.2495714409999664,0.33975799699999243,64.0
llava15-7b,textvqa,vispruner,128,200,1,0.492,0.4899348741460671,0.425,0.5595,0.08562319999995907,0.01927352399998199,0.04396017550000579,0.021788369999985662,0.0006011304999856292,0.26542620349996926,0.35159203199998956,128.0
